rank,char_trad,char_simp,count
572,假,,171721
573,養,养,171495
574,引,,171019
575,補,补,170701
576,千,,170650
577,韆,千,170650
578,課,课,170373
579,曾,,169926
580,際,际,169104
581,靠,,169103
582,號,号,168576
583,史,,168316
584,群,,167911
585,病,,166694
586,否,,166673
587,穿,,165104
588,歌,,164824
589,獨,独,164528
590,妹,,164464
591,食,,164427
592,態,态,162646
593,職,职,162586
594,斷,断,162472
595,創,创,162388
596,致,,161996
597,緻,致,161996
598,辦,办,160865
599,慢,,159736
600,究,,159730
601,古,,159721
602,版,,159273
603,竟,,159236
604,共,,158775
605,擇,择,158205
606,遇,,157986
607,切,,157946
608,維,维,157626
609,修,,157005
610,脩,修,157005
611,粉,,156940
612,克,,156709
613,剋,克,156709
614,突,,156346
615,例,,156118
616,續,续,155854
617,屬,属,155728
618,速,,155675
619,八,,155597
620,壓,压,155293
621,奇,,154881
622,器,,154647
623,哥,,154423
624,歲,岁,152869
625,環,环,152122
626,組,组,151916
627,練,练,151650
628,集,,151308
629,訴,诉,151239
630,按,,151141
631,臉,脸,150846
632,則,则,150716
633,充,,150288
634,興,兴,150240
635,挺,,150178
636,啊,,150151
637,衣,,149366
638,左,,149152
639,團,团,148279
640,愿,,147796
641,願,愿,147796
642,議,议,147655
643,賣,卖,147616
644,坐,,147352
645,肯,,147289
646,京,,147108
647,搞,,145181
648,源,,144686
649,皮,,144545
650,懂,,144099
651,雙,双,143706
652,飛,飞,143298
653,飯,饭,142779
654,睡,,141233
655,層,层,139939
656,牛,,139901
657,婚,,139760
658,詞,词,139667
659,翻,,138660
660,殺,杀,138513
661,爭,争,137811
662,盡,尽,137717
663,儘,尽,137717
664,肉,,137664
665,藝,艺,136709
666,洗,,136349
667,米,,136235
668,濟,济,135957
669,素,,135516
670,率,,135470
671,族,,135422
672,害,,134938
673,軟,软,134838
674,護,护,134837
675,依,,134611
676,稱,称,134529
677,毛,,134500
678,室,,134448
679,互,,134133
680,育,,133873
681,青,,133846
682,元,,133829
683,印,,133785
684,討,讨,133524
685,布,,133148
686,漢,汉,132962
687,味,,132698
688,官,,132694
689,店,,132338
690,營,营,132066
691,智,,132000
692,血,,131998
693,阿,,131756
694,嚴,严,131672
695,卡,,131317
696,待,,130866
697,久,,130802
698,倒,,130578
699,巴,,130013
700,戀,恋,129690
701,追,,129178
702,念,,128897
703,唸,念,128897
704,黃,黄,128801
705,居,,128461
706,逼,,128246
707,負,负,127982
708,約,约,127900
709,聊,,127688
710,香,,126278
711,預,预,126274
712,送,,126013
713,傷,伤,125929
714,塊,块,125699
715,息,,125641
716,境,,125221
717,板,,124602
718,闆,板,124602
719,項,项,123912
720,舉,举,123636
721,票,,123439
722,狀,状,123198
723,圍,围,123040
724,掉,,122883
725,響,响,122394
726,羅,罗,122041
727,狗,,121981
728,份,,121641
729,控,,121104
730,示,,120644
731,林,,120510
732,圈,,120434
733,六,,120162
734,套,,120128
735,夜,,119936
736,列,,119667
737,限,,119626
738,編,编,119536
739,查,,119349
740,酒,,119126
741,油,,118309
742,筆,笔,118088
743,牌,,117965
744,供,,117464
745,須,须,117340
746,鬚,须,117340
747,土,,117214
748,武,,117188
749,敢,,117015
750,朝,,116826
751,偏,,116750
752,順,顺,116662
753,賽,赛,116235
754,破,,116168
755,堅,坚,116163
756,銷,销,115257
757,亞,亚,115033
758,料,,114882
759,企,,114748
760,落,,114642
761,律,,114390
762,景,,114384
763,純,纯,114055
764,喝,,113121
765,奶,,112540
766,努,,112359
767,缺,,112069
768,贊,赞,111688
769,讚,赞,111688
770,溫,温,111319
771,姐,,111249
772,短,,111113
773,助,,110739
774,惡,恶,110057
775,荐,,109659
776,絲,丝,109653
777,承,,109627
778,貼,贴,109032
779,熟,,108813
780,苦,,108684
781,李,,108164
782,謂,谓,108158
783,篇,,107633
784,增,,107592
785,健,,107156
786,防,,106475
787,局,,106436
788,擊,击,106100
789,冷,,105888
790,刻,,105301
791,免,,105296
792,七,,105030
793,構,构,104272
794,爺,爷,104269
795,異,异,104260
796,款,,104221
797,藥,药,104145
798,材,,103807
799,吸,,103730
800,富,,103706
801,永,,103687
802,測,测,103315
803,吧,,103119
804,獲,获,102437
805,穫,获,102437
806,勢,势,102349
807,激,,102300
808,省,,101891
809,責,责,100652
810,慮,虑,100590
